Ocean.Warm surface ocean alkalinity sensitivity to global T anomaly[1],Ocean.Cold surface ocean alkalinity sensitivity to global T anomaly[1],Ocean.High latitude carbon pump sensitivity to global T anomaly[1],Ocean.Warm surface ocean temperature sensitivity to global T anomaly[1],Ocean.Cold surface ocean temperature sensitivity to global T anomaly[1],Ocean.Warm surface ocean salinity sensitivity to global T anomaly[1],Ocean.Cold surface ocean salinity sensitivity to global T anomaly[1]
-3.160444675937668e-06,-7.40793624236116e-06,-0.1131032037481719,0.7500828797067295,0.42004520303722465,-0.03160444675937668,-0.0740793624236116
-1.9404971293328034e-06,-1.4382312355807386e-05,-0.33207373491332276,0.8087859924510177,0.5407827352204756,-0.019404971293328035,-0.14382312355807386
-3.6983524740395194e-06,-6.741500039249775e-06,-0.006731054584197704,0.9996275275112474,0.8368984313721235,-0.03698352474039519,-0.06741500039249775
-1.5376133334374208e-06,-6.731587399817267e-06,-0.2234844202604232,0.44321304692400243,0.6831552430676613,-0.015376133334374209,-0.06731587399817267
-3.7532640564289864e-06,-2.9592386937478448e-05,-0.2682825317258434,0.8496499390751833,0.5226759424437963,-0.037532640564289864,-0.2959238693747845
-3.8201787582464575e-06,-7.367514720793554e-06,-0.4605606686274853,0.5230411739551153,0.6606268603621284,-0.03820178758246458,-0.07367514720793554
-2.5319368689240636e-06,-2.7003124439916452e-05,-0.33845238011459705,0.7123697199761534,0.8090336264560987,-0.025319368689240635,-0.27003124439916454
-3.673505939775166e-06,-2.7097593071195657e-05,-0.02325441687005525,0.8563888300988249,0.4583416971524096,-0.03673505939775166,-0.2709759307119566
-3.7319256023252904e-06,-1.9977385929975323e-05,-0.4161945932946751,0.46575619287049025,0.5121752206270611,-0.0373192560232529,-0.19977385929975322
-3.8231864260791414e-06,-8.718724214305997e-06,-0.2790719753093816,0.6644403038646396,0.8675277431538209,-0.038231864260791414,-0.08718724214305998
-2.681416678284228e-06,-8.192915304576018e-06,-0.4459034685856437,0.5935333292369811,0.5715666857801612,-0.026814166782842278,-0.08192915304576018
-1.5161283000866489e-06,-1.4373166264778278e-05,-0.4002227088307676,0.4420779837590971,0.8421210307074876,-0.015161283000866489,-0.14373166264778278
-1.4135101203100022e-06,-1.4104471413693911e-05,-0.37641459776995223,0.5125133575807949,0.9190089360883247,-0.014135101203100022,-0.14104471413693911
-2.251153945024813e-06,-1.0520886931674952e-05,-0.2331350828391366,0.75715801448264,0.5698408341214221,-0.022511539450248128,-0.10520886931674953
-2.2849729785401162e-06,-1.913424388021637e-05,-0.07965665436524749,0.620987401760319,0.36624508736927675,-0.022849729785401163,-0.1913424388021637
-3.473022870717505e-06,-8.477954742154015e-06,-0.03887266296871139,0.5603433234634745,0.759704255757947,-0.03473022870717505,-0.08477954742154016
-3.5911976701015917e-06,-2.413932716951338e-05,-0.053138474976703653,0.6104184799057089,0.7944634910178143,-0.03591197670101592,-0.2413932716951338
-3.6870578023412842e-06,-1.2829263463976698e-05,-0.3165020781670446,0.4741502052220049,0.405031572103782,-0.03687057802341284,-0.12829263463976698
-2.0400503945734036e-06,-7.663662310466508e-06,-0.22556266082768395,0.9942004308449117,0.41323907211050664,-0.020400503945734037,-0.07663662310466508
-2.0837112339894387e-06,-2.9227481422434368e-05,-0.32390543214891043,0.6426767930284135,0.3976555521350821,-0.02083711233989439,-0.2922748142243437
-2.9111552320466253e-06,-2.271090161951624e-05,-0.03751498336116199,0.7161516169563511,0.6577267326968916,-0.029111552320466253,-0.2271090161951624
-2.202727781611201e-06,-1.078040653111128e-05,-0.3154027631003245,0.5910992843351732,0.975523829472519,-0.022027277816112013,-0.1078040653111128
-1.0423979886572098e-06,-2.0796291412244686e-05,-0.22737161703789904,0.6040355106049909,0.7352261579799457,-0.010423979886572097,-0.20796291412244686
-1.7716517467973477e-06,-2.281260467437009e-05,-0.10729391391970633,0.756212618807947,0.6163599920076499,-0.017716517467973477,-0.22812604674370088
-1.7630566264581882e-06,-1.8407747527957532e-05,-0.24264798554913547,0.8522917922879096,0.4824336819870674,-0.01763056626458188,-0.18407747527957533
-1.6214850297039664e-06,-2.449963585589494e-05,-0.24216333733716439,0.6387739260793965,0.7332981811885857,-0.016214850297039663,-0.24499635855894938
-2.56665314452355e-06,-1.109697483195809e-05,-0.04754760803872571,0.7550182594521728,0.4379933402247454,-0.0256665314452355,-0.1109697483195809
-2.21400074705108e-06,-1.3972299084836894e-05,-0.47668782059450876,0.7901076532645437,0.9561251235170687,-0.0221400074705108,-0.13972299084836895
-2.930004883275098e-06,-9.646839379309394e-06,-0.04521336145855703,0.4557918541161029,0.47627251033565166,-0.02930004883275098,-0.09646839379309394
-2.635731953280402e-06,-2.2934751447771274e-05,-0.13120550858413343,0.8771033952648237,0.32168210995103175,-0.02635731953280402,-0.22934751447771273
-1.5285192214048466e-06,-2.1238863822534948e-05,-0.2734999398533426,0.5364553268246002,0.56025157192063,-0.015285192214048466,-0.21238863822534948
-1.7192654756065493e-06,-1.141502787988744e-05,-0.1905605423354435,0.48823541487180644,0.615146413442023,-0.017192654756065493,-0.11415027879887439
-1.8125575260083286e-06,-2.5796568342707347e-05,-0.26233386880872855,0.8909514946455726,0.9509285066614783,-0.018125575260083286,-0.2579656834270735
